,Number of components,Type of DES,I,II,III,IV,V,Component#1,Component#2,Component#3,X#1 (molar fraction),X#2 (molar fraction),X#3 (molar fraction),"Temperature, K","Density, g/cm^3",Reference (DOI)
0,2,Ⅰ,1,0,0,0,0,Zincchloride,1-Butyl-3-methyl imidazolium chloride,,0.5,0.5,,300.2,1.1025,10.1016/j.cclet.2013.09.004
1,2,Ⅰ,1,0,0,0,0,Zincchloride,1-Butyl-3-methylimidazolium chloride,,0.5,0.5,,303.15,1.50913,10.1016/j.jobe.2021.103056
2,2,Ⅰ,1,0,0,0,0,Zincchloride,1-Butyl-3-methylimidazolium chloride,,0.333,0.667,,303.15,1.34292,10.1016/j.jobe.2021.103056
3,2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,,0.333,0.667,,293.0,1.195,10.1016/j.cep.2015.04.001
4,2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,,0.333,0.667,,303.0,1.188,10.1016/j.cep.2015.04.001
5,2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,,0.333,0.667,,313.0,1.181,10.1016/j.cep.2015.04.001
6,2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,,0.333,0.667,,323.0,1.174,10.1016/j.cep.2015.04.001
7,2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,,0.333,0.667,,333.0,1.167,10.1016/j.cep.2015.04.001
8,2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,,0.333,0.667,,343.0,1.16,10.1016/j.cep.2015.04.001
9,2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,,0.333,0.667,,353.0,1.154,10.1016/j.cep.2015.04.001
10,2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,,0.4,0.6,,293.0,1.226,10.1016/j.cep.2015.04.001
11,2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,,0.4,0.6,,303.0,1.22,10.1016/j.cep.2015.04.001
12,2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,,0.4,0.6,,313.0,1.213,10.1016/j.cep.2015.04.001
13,2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,,0.4,0.6,,323.0,1.206,10.1016/j.cep.2015.04.001
14,2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,,0.4,0.6,,333.0,1.198,10.1016/j.cep.2015.04.001
15,2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,,0.4,0.6,,343.0,1.19,10.1016/j.cep.2015.04.001
16,2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,,0.4,0.6,,353.0,1.183,10.1016/j.cep.2015.04.001
17,2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Dodecyltrimethylammonium bromide,,0.5,0.5,,298.0,1.27,10.1016/J.MOLLIQ.2018.12.096
18,2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Tetradecyltrimethylammonium bromide,,0.5,0.5,,298.0,1.23,10.1016/J.MOLLIQ.2018.12.096
19,2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Cetyltrimethylammonium bromide,,0.5,0.5,,298.0,1.19,10.1016/J.MOLLIQ.2018.12.096
20,2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,Stearyltrimethylammonium bromide,,0.5,0.5,,298.0,1.15,10.1016/J.MOLLIQ.2018.12.096
21,2,Ⅰ,1,0,0,0,0,Aluminium Chloride Anhydrous,"N-benzyl-N,N-dibutylbutan-1-aminium chloride",,0.667,0.333,,298.0,1.0007,10.13140/RG.2.2.13424.10245
22,2,Ⅰ,1,0,0,0,0,Cuprymina,"N-benzyl-N,N-dibutylbutan-1-aminium chloride",,0.667,0.333,,298.0,1.0039,10.13140/RG.2.2.13424.10245
23,2,Ⅰ,1,0,0,0,0,Iron(3+) Trichloride,"N-benzyl-N,N-dibutylbutan-1-aminium chloride",,0.667,0.333,,298.0,1.0001,10.13140/RG.2.2.13424.10245
24,2,Ⅰ,1,0,0,0,0,STANNIC CHLORIDE [MI],"N-benzyl-N,N-dibutylbutan-1-aminium chloride",,0.667,0.333,,298.0,1.0043,10.13140/RG.2.2.13424.10245
25,2,Ⅰ,1,0,0,0,0,Zincchloride,"N-benzyl-N,N-dibutylbutan-1-aminium chloride",,0.667,0.333,,298.0,1.0014,10.13140/RG.2.2.13424.10245
26,2,Ⅲ,0,0,1,0,0,1-Ethyl-3-methylimidazolium chloride,"1,2,4-Triazole",,0.5,0.5,,313.2,1.16822,10.1021/acssuschemeng.0c04215
27,2,Ⅲ,0,0,1,0,0,1-Ethyl-3-methylimidazolium chloride,1H-Benzotriazole,,0.5,0.5,,313.2,1.4666,10.1021/acssuschemeng.0c04215
28,2,Ⅲ,0,0,1,0,0,1-Ethyl-3-methylimidazolium chloride,1H-Tetrazole,,0.5,0.5,,313.2,1.16062,10.1021/acssuschemeng.0c04215
29,2,Ⅲ,0,0,1,0,0,1-Ethyl-3-methylimidazolium chloride,Benzimidazole,,0.5,0.5,,313.2,1.1985,10.1021/acssuschemeng.0c04215
30,2,Ⅲ,0,0,1,0,0,1-Ethyl-3-methylimidazolium chloride,Imidazole,,0.5,0.5,,313.2,1.14956,10.1021/acssuschemeng.0c04215
31,2,Ⅲ,0,0,1,0,0,1-Ethyl-3-methylimidazolium chloride,Phenol,,0.5,0.5,,313.2,1.11071,10.1021/acssuschemeng.0c04215
32,2,Ⅲ,0,0,1,0,0,1-Ethyl-3-methylimidazolium chloride,Succinimide,,0.5,0.5,,313.2,1.12093,10.1021/acssuschemeng.0c04215
33,2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.143,0.857,,293.15,1.2982,10.1021/acssuschemeng.9b03245
34,2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.143,0.857,,303.15,1.2917,10.1021/acssuschemeng.9b03245
35,2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.143,0.857,,313.15,1.2851,10.1021/acssuschemeng.9b03245
36,2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.143,0.857,,323.15,1.2786,10.1021/acssuschemeng.9b03245
37,2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.143,0.857,,333.15,1.272,10.1021/acssuschemeng.9b03245
38,2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.143,0.857,,343.15,1.2654,10.1021/acssuschemeng.9b03245
39,2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.143,0.857,,353.15,1.2587,10.1021/acssuschemeng.9b03245
40,2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.167,0.833,,293.15,1.2983,10.1021/acssuschemeng.9b03245
41,2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.167,0.833,,303.15,1.2918,10.1021/acssuschemeng.9b03245
42,2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.167,0.833,,313.15,1.2854,10.1021/acssuschemeng.9b03245
43,2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.167,0.833,,323.15,1.2788,10.1021/acssuschemeng.9b03245
44,2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.167,0.833,,333.15,1.2725,10.1021/acssuschemeng.9b03245
45,2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.167,0.833,,343.15,1.2656,10.1021/acssuschemeng.9b03245
46,2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.167,0.833,,353.15,1.2589,10.1021/acssuschemeng.9b03245
47,2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.2,0.8,,293.15,1.3085,10.1021/acssuschemeng.9b03245
48,2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.2,0.8,,303.15,1.302,10.1021/acssuschemeng.9b03245
49,2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.2,0.8,,313.15,1.2955,10.1021/acssuschemeng.9b03245
50,2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.2,0.8,,323.15,1.289,10.1021/acssuschemeng.9b03245
51,2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.2,0.8,,333.15,1.2823,10.1021/acssuschemeng.9b03245
52,2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.2,0.8,,343.15,1.2757,10.1021/acssuschemeng.9b03245
53,2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.2,0.8,,353.15,1.269,10.1021/acssuschemeng.9b03245
54,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,"1,2,4-Triazole",,0.5,0.5,,303.15,1.1293,10.1021/acs.iecr.7b02478
55,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,"1,2,4-Triazole",,0.5,0.5,,313.15,1.1249,10.1021/acs.iecr.7b02478
56,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,"1,2,4-Triazole",,0.5,0.5,,323.15,1.1193,10.1021/acs.iecr.7b02478
57,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,"1,2,4-Triazole",,0.5,0.5,,333.15,1.1133,10.1021/acs.iecr.7b02478
58,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,"1,2,4-Triazole",,0.5,0.5,,343.15,1.1081,10.1021/acs.iecr.7b02478
59,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,"1,2,4-Triazole",,0.5,0.5,,353.15,1.1037,10.1021/acs.iecr.7b02478
60,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,"1,2,4-Triazole",,0.5,0.5,,363.15,1.1002,10.1021/acs.iecr.7b02478
61,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.25,0.75,,303.15,1.1557,10.1021/acs.iecr.7b02478
62,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.25,0.75,,313.15,1.1517,10.1021/acs.iecr.7b02478
63,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.25,0.75,,323.15,1.1456,10.1021/acs.iecr.7b02478
64,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.25,0.75,,333.15,1.1421,10.1021/acs.iecr.7b02478
65,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.25,0.75,,343.15,1.1384,10.1021/acs.iecr.7b02478
66,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.25,0.75,,353.15,1.1326,10.1021/acs.iecr.7b02478
67,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.25,0.75,,363.15,1.1285,10.1021/acs.iecr.7b02478
68,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.333,0.667,,303.15,1.1206,10.1021/acs.iecr.7b02478
69,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.333,0.667,,313.15,1.1141,10.1021/acs.iecr.7b02478
70,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.333,0.667,,323.15,1.1092,10.1021/acs.iecr.7b02478
71,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.333,0.667,,333.15,1.1026,10.1021/acs.iecr.7b02478
72,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.333,0.667,,343.15,1.0987,10.1021/acs.iecr.7b02478
73,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.333,0.667,,353.15,1.0935,10.1021/acs.iecr.7b02478
74,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.333,0.667,,363.15,1.0895,10.1021/acs.iecr.7b02478
75,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.4,0.6,,303.15,1.1293,10.1021/acs.iecr.7b02478
76,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.4,0.6,,313.15,1.1249,10.1021/acs.iecr.7b02478
77,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.4,0.6,,323.15,1.1193,10.1021/acs.iecr.7b02478
78,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.4,0.6,,333.15,1.1133,10.1021/acs.iecr.7b02478
79,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.4,0.6,,343.15,1.1081,10.1021/acs.iecr.7b02478
80,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.4,0.6,,353.15,1.1037,10.1021/acs.iecr.7b02478
81,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.4,0.6,,363.15,1.1002,10.1021/acs.iecr.7b02478
82,2,Ⅲ,0,0,1,0,0,Choline chloride,Guaiacol,,0.25,0.75,,293.15,1.1533,10.1021/acs.jced.6b01013
83,2,Ⅲ,0,0,1,0,0,Choline chloride,Guaiacol,,0.25,0.75,,303.15,1.1475,10.1021/acs.jced.6b01013
84,2,Ⅲ,0,0,1,0,0,Choline chloride,Guaiacol,,0.25,0.75,,313.15,1.1412,10.1021/acs.jced.6b01013
85,2,Ⅲ,0,0,1,0,0,Choline chloride,Guaiacol,,0.25,0.75,,323.15,1.1341,10.1021/acs.jced.6b01013
86,2,Ⅲ,0,0,1,0,0,Choline chloride,Guaiacol,,0.2,0.8,,293.15,1.1556,10.1021/acs.jced.6b01013
87,2,Ⅲ,0,0,1,0,0,Choline chloride,Guaiacol,,0.2,0.8,,303.15,1.1477,10.1021/acs.jced.6b01013
88,2,Ⅲ,0,0,1,0,0,Choline chloride,Guaiacol,,0.2,0.8,,313.15,1.1406,10.1021/acs.jced.6b01013
89,2,Ⅲ,0,0,1,0,0,Choline chloride,Guaiacol,,0.2,0.8,,323.15,1.1324,10.1021/acs.jced.6b01013
90,2,Ⅲ,0,0,1,0,0,Choline chloride,Guaiacol,,0.16667,0.83333,,293.15,1.1497,10.1021/acs.jced.6b01013
91,2,Ⅲ,0,0,1,0,0,Choline chloride,Guaiacol,,0.16667,0.83333,,303.15,1.1434,10.1021/acs.jced.6b01013
92,2,Ⅲ,0,0,1,0,0,Choline chloride,Guaiacol,,0.16667,0.83333,,313.15,1.1362,10.1021/acs.jced.6b01013
93,2,Ⅲ,0,0,1,0,0,Choline chloride,Guaiacol,,0.16667,0.83333,,323.15,1.128,10.1021/acs.jced.6b01013
94,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Guaiacol,,0.25,0.75,,293.15,1.1496,10.1021/acs.jced.6b01013
95,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Guaiacol,,0.25,0.75,,303.15,1.1461,10.1021/acs.jced.6b01013
96,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Guaiacol,,0.25,0.75,,313.15,1.1398,10.1021/acs.jced.6b01013
97,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Guaiacol,,0.25,0.75,,323.15,1.1338,10.1021/acs.jced.6b01013
98,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Guaiacol,,0.2,0.8,,293.15,1.1493,10.1021/acs.jced.6b01013
99,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Guaiacol,,0.2,0.8,,303.15,1.1448,10.1021/acs.jced.6b01013
100,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Guaiacol,,0.2,0.8,,313.15,1.1381,10.1021/acs.jced.6b01013
101,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Guaiacol,,0.2,0.8,,323.15,1.1317,10.1021/acs.jced.6b01013
102,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Guaiacol,,0.16667,0.83333,,293.15,1.1527,10.1021/acs.jced.6b01013
103,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Guaiacol,,0.16667,0.83333,,303.15,1.1481,10.1021/acs.jced.6b01013
104,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Guaiacol,,0.16667,0.83333,,313.15,1.1425,10.1021/acs.jced.6b01013
105,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Guaiacol,,0.16667,0.83333,,323.15,1.1351,10.1021/acs.jced.6b01013
106,2,Ⅲ,0,0,1,0,0,Choline chloride,Levulinic acid,,0.25,0.75,,293.15,1.142,10.1016/j.molliq.2016.07.039
107,2,Ⅲ,0,0,1,0,0,Choline chloride,Levulinic acid,,0.25,0.75,,298.15,1.13842,10.1016/j.molliq.2016.07.039
108,2,Ⅲ,0,0,1,0,0,Choline chloride,Levulinic acid,,0.25,0.75,,303.15,1.13483,10.1016/j.molliq.2016.07.039
109,2,Ⅲ,0,0,1,0,0,Choline chloride,Levulinic acid,,0.25,0.75,,308.15,1.13119,10.1016/j.molliq.2016.07.039
110,2,Ⅲ,0,0,1,0,0,Choline chloride,Levulinic acid,,0.25,0.75,,313.15,1.12749,10.1016/j.molliq.2016.07.039
111,2,Ⅲ,0,0,1,0,0,Choline chloride,Levulinic acid,,0.25,0.75,,318.15,1.12398,10.1016/j.molliq.2016.07.039
112,2,Ⅲ,0,0,1,0,0,Choline chloride,Levulinic acid,,0.25,0.75,,323.15,1.12036,10.1016/j.molliq.2016.07.039
113,2,Ⅲ,0,0,1,0,0,Choline chloride,Levulinic acid,,0.25,0.75,,328.15,1.1167,10.1016/j.molliq.2016.07.039
114,2,Ⅲ,0,0,1,0,0,Choline chloride,Levulinic acid,,0.25,0.75,,333.15,1.1137,10.1016/j.molliq.2016.07.039
115,2,Ⅲ,0,0,1,0,0,Choline chloride,Levulinic acid,,0.25,0.75,,338.15,1.11011,10.1016/j.molliq.2016.07.039
116,2,Ⅲ,0,0,1,0,0,Choline chloride,Levulinic acid,,0.25,0.75,,343.15,1.10648,10.1016/j.molliq.2016.07.039
117,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Levulinic acid,,0.25,0.75,,293.15,1.1444,10.1016/j.molliq.2016.07.039
118,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Levulinic acid,,0.25,0.75,,298.15,1.14058,10.1016/j.molliq.2016.07.039
119,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Levulinic acid,,0.25,0.75,,303.15,1.13687,10.1016/j.molliq.2016.07.039
120,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Levulinic acid,,0.25,0.75,,308.15,1.13301,10.1016/j.molliq.2016.07.039
121,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Levulinic acid,,0.25,0.75,,313.15,1.12943,10.1016/j.molliq.2016.07.039
122,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Levulinic acid,,0.25,0.75,,318.15,1.12561,10.1016/j.molliq.2016.07.039
123,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Levulinic acid,,0.25,0.75,,323.15,1.12182,10.1016/j.molliq.2016.07.039
124,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Levulinic acid,,0.25,0.75,,328.15,1.11791,10.1016/j.molliq.2016.07.039
125,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Levulinic acid,,0.25,0.75,,333.15,1.11441,10.1016/j.molliq.2016.07.039
126,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Levulinic acid,,0.25,0.75,,338.15,1.1107,10.1016/j.molliq.2016.07.039
127,2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Levulinic acid,,0.25,0.75,,343.15,1.10685,10.1016/j.molliq.2016.07.039
128,2,Ⅲ,0,0,1,0,0,Tetraethylammonium chloride,Levulinic acid,,0.25,0.75,,293.15,1.09741,10.1016/j.molliq.2016.07.039
129,2,Ⅲ,0,0,1,0,0,Tetraethylammonium chloride,Levulinic acid,,0.25,0.75,,298.15,1.09392,10.1016/j.molliq.2016.07.039
130,2,Ⅲ,0,0,1,0,0,Tetraethylammonium chloride,Levulinic acid,,0.25,0.75,,303.15,1.0903,10.1016/j.molliq.2016.07.039
131,2,Ⅲ,0,0,1,0,0,Tetraethylammonium chloride,Levulinic acid,,0.25,0.75,,308.15,1.08664,10.1016/j.molliq.2016.07.039
132,2,Ⅲ,0,0,1,0,0,Tetraethylammonium chloride,Levulinic acid,,0.25,0.75,,313.15,1.08328,10.1016/j.molliq.2016.07.039
133,2,Ⅲ,0,0,1,0,0,Tetraethylammonium chloride,Levulinic acid,,0.25,0.75,,318.15,1.07967,10.1016/j.molliq.2016.07.039
134,2,Ⅲ,0,0,1,0,0,Tetraethylammonium chloride,Levulinic acid,,0.25,0.75,,323.15,1.07612,10.1016/j.molliq.2016.07.039
135,2,Ⅲ,0,0,1,0,0,Tetraethylammonium chloride,Levulinic acid,,0.25,0.75,,328.15,1.0725,10.1016/j.molliq.2016.07.039
136,2,Ⅲ,0,0,1,0,0,Tetraethylammonium chloride,Levulinic acid,,0.25,0.75,,333.15,1.0692,10.1016/j.molliq.2016.07.039
137,2,Ⅲ,0,0,1,0,0,Tetraethylammonium chloride,Levulinic acid,,0.25,0.75,,338.15,1.06574,10.1016/j.molliq.2016.07.039
138,2,Ⅲ,0,0,1,0,0,Tetraethylammonium chloride,Levulinic acid,,0.25,0.75,,343.15,1.06229,10.1016/j.molliq.2016.07.039
139,2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Levulinic acid,,0.25,0.75,,293.15,1.17735,10.1016/j.molliq.2016.07.039
140,2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Levulinic acid,,0.25,0.75,,298.15,1.17362,10.1016/j.molliq.2016.07.039
141,2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Levulinic acid,,0.25,0.75,,303.15,1.16985,10.1016/j.molliq.2016.07.039
142,2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Levulinic acid,,0.25,0.75,,308.15,1.16602,10.1016/j.molliq.2016.07.039
143,2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Levulinic acid,,0.25,0.75,,313.15,1.16219,10.1016/j.molliq.2016.07.039
144,2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Levulinic acid,,0.25,0.75,,318.15,1.15836,10.1016/j.molliq.2016.07.039
145,2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Levulinic acid,,0.25,0.75,,323.15,1.15456,10.1016/j.molliq.2016.07.039
146,2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Levulinic acid,,0.25,0.75,,328.15,1.15116,10.1016/j.molliq.2016.07.039
147,2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Levulinic acid,,0.25,0.75,,333.15,1.14737,10.1016/j.molliq.2016.07.039
148,2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Levulinic acid,,0.25,0.75,,338.15,1.14345,10.1016/j.molliq.2016.07.039
149,2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Levulinic acid,,0.25,0.75,,343.15,1.13974,10.1016/j.molliq.2016.07.039
150,2,Ⅲ,0,0,1,0,0,Tetrabutylammonium chloride,Levulinic acid,,0.25,0.75,,293.15,1.03453,10.1016/j.molliq.2016.07.039
151,2,Ⅲ,0,0,1,0,0,Tetrabutylammonium chloride,Levulinic acid,,0.25,0.75,,298.15,1.03096,10.1016/j.molliq.2016.07.039
152,2,Ⅲ,0,0,1,0,0,Tetrabutylammonium chloride,Levulinic acid,,0.25,0.75,,303.15,1.02729,10.1016/j.molliq.2016.07.039
153,2,Ⅲ,0,0,1,0,0,Tetrabutylammonium chloride,Levulinic acid,,0.25,0.75,,308.15,1.02379,10.1016/j.molliq.2016.07.039
154,2,Ⅲ,0,0,1,0,0,Tetrabutylammonium chloride,Levulinic acid,,0.25,0.75,,313.15,1.02026,10.1016/j.molliq.2016.07.039
155,2,Ⅲ,0,0,1,0,0,Tetrabutylammonium chloride,Levulinic acid,,0.25,0.75,,318.15,1.01667,10.1016/j.molliq.2016.07.039
156,2,Ⅲ,0,0,1,0,0,Tetrabutylammonium chloride,Levulinic acid,,0.25,0.75,,323.15,1.01307,10.1016/j.molliq.2016.07.039
157,2,Ⅲ,0,0,1,0,0,Tetrabutylammonium chloride,Levulinic acid,,0.25,0.75,,328.15,1.0095,10.1016/j.molliq.2016.07.039
158,2,Ⅲ,0,0,1,0,0,Tetrabutylammonium chloride,Levulinic acid,,0.25,0.75,,333.15,1.006,10.1016/j.molliq.2016.07.039
159,2,Ⅲ,0,0,1,0,0,Tetrabutylammonium chloride,Levulinic acid,,0.25,0.75,,338.15,1.00249,10.1016/j.molliq.2016.07.039
160,2,Ⅲ,0,0,1,0,0,Tetrabutylammonium chloride,Levulinic acid,,0.25,0.75,,343.15,0.99891,10.1016/j.molliq.2016.07.039
161,2,Ⅲ,0,0,1,0,0,Tetrabutylammonium bromide,Levulinic acid,,0.25,0.75,,293.15,1.10089,10.1016/j.molliq.2016.07.039
162,2,Ⅲ,0,0,1,0,0,Tetrabutylammonium bromide,Levulinic acid,,0.25,0.75,,298.15,1.09717,10.1016/j.molliq.2016.07.039
163,2,Ⅲ,0,0,1,0,0,Tetrabutylammonium bromide,Levulinic acid,,0.25,0.75,,303.15,1.09352,10.1016/j.molliq.2016.07.039
164,2,Ⅲ,0,0,1,0,0,Tetrabutylammonium bromide,Levulinic acid,,0.25,0.75,,308.15,1.08987,10.1016/j.molliq.2016.07.039
165,2,Ⅲ,0,0,1,0,0,Tetrabutylammonium bromide,Levulinic acid,,0.25,0.75,,313.15,1.0862,10.1016/j.molliq.2016.07.039
166,2,Ⅲ,0,0,1,0,0,Tetrabutylammonium bromide,Levulinic acid,,0.25,0.75,,318.15,1.08256,10.1016/j.molliq.2016.07.039
167,2,Ⅲ,0,0,1,0,0,Tetrabutylammonium bromide,Levulinic acid,,0.25,0.75,,323.15,1.07877,10.1016/j.molliq.2016.07.039
168,2,Ⅲ,0,0,1,0,0,Tetrabutylammonium bromide,Levulinic acid,,0.25,0.75,,328.15,1.07566,10.1016/j.molliq.2016.07.039
169,2,Ⅲ,0,0,1,0,0,Tetrabutylammonium bromide,Levulinic acid,,0.25,0.75,,333.15,1.07205,10.1016/j.molliq.2016.07.039
170,2,Ⅲ,0,0,1,0,0,Tetrabutylammonium bromide,Levulinic acid,,0.25,0.75,,338.15,1.06837,10.1016/j.molliq.2016.07.039
